2025-07-23 07:57:09,304 INFO    MainThread:2758 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-07-23 07:57:09,305 INFO    MainThread:2758 [wandb_setup.py:_flush():80] Configure stats pid to 2758
2025-07-23 07:57:09,305 INFO    MainThread:2758 [wandb_setup.py:_flush():80] Loading settings from /home/work/.config/wandb/settings
2025-07-23 07:57:09,305 INFO    MainThread:2758 [wandb_setup.py:_flush():80] Loading settings from /home/work/chase/heightlane/wandb/settings
2025-07-23 07:57:09,305 INFO    MainThread:2758 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-07-23 07:57:09,305 INFO    MainThread:2758 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/work/chase/heightlane/wandb/run-20250723_075709-hnwmyq97/logs/debug.log
2025-07-23 07:57:09,305 INFO    MainThread:2758 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/work/chase/heightlane/wandb/run-20250723_075709-hnwmyq97/logs/debug-internal.log
2025-07-23 07:57:09,305 INFO    MainThread:2758 [wandb_init.py:init():830] calling init triggers
2025-07-23 07:57:09,305 INFO    MainThread:2758 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-07-23 07:57:09,305 INFO    MainThread:2758 [wandb_init.py:init():871] starting backend
2025-07-23 07:57:09,535 INFO    MainThread:2758 [wandb_init.py:init():874] sending inform_init request
2025-07-23 07:57:09,552 INFO    MainThread:2758 [wandb_init.py:init():882] backend started and connected
2025-07-23 07:57:09,553 INFO    MainThread:2758 [wandb_init.py:init():953] updated telemetry
2025-07-23 07:57:09,554 INFO    MainThread:2758 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-07-23 07:57:10,180 INFO    MainThread:2758 [wandb_init.py:init():1029] starting run threads in backend
2025-07-23 07:57:10,507 INFO    MainThread:2758 [wandb_run.py:_console_start():2458] atexit reg
2025-07-23 07:57:10,507 INFO    MainThread:2758 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-07-23 07:57:10,507 INFO    MainThread:2758 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-07-23 07:57:10,507 INFO    MainThread:2758 [wandb_run.py:_redirect():2398] Redirects installed.
2025-07-23 07:57:10,510 INFO    MainThread:2758 [wandb_init.py:init():1075] run started, returning control to user process
2025-07-23 07:57:10,795 INFO    MsgRouterThr:2758 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
